entry	name	body_size
0067dce0	DelayLoad_GetProcessDpiAwareness	1
0067dcf8	DelayLoad_GetDpiForMonitor	1
00690de0	FMX.Objects.TEllipse.PointInObjectLocal	1
006db0f4	DelayLoad_GdipAlloc	1
006db10c	DelayLoad_GdipFree	1
006db124	DelayLoad_GdiplusStartup	1
006db13c	DelayLoad_GdiplusShutdown	1
006db154	DelayLoad_GdipCreatePath	1
006db16c	DelayLoad_GdipCreatePath2	1
006db184	DelayLoad_GdipCreatePath2I	1
006db19c	DelayLoad_GdipClonePath	1
006db1b4	DelayLoad_GdipDeletePath	1
006db1cc	DelayLoad_GdipResetPath	1
006db1e4	DelayLoad_GdipGetPointCount	1
006db1fc	DelayLoad_GdipGetPathTypes	1
006db214	DelayLoad_GdipGetPathPoints	1
006db22c	DelayLoad_GdipGetPathPointsI	1
006db244	DelayLoad_GdipGetPathFillMode	1
006db25c	DelayLoad_GdipSetPathFillMode	1
006db274	DelayLoad_GdipGetPathData	1
006db28c	DelayLoad_GdipStartPathFigure	1
006db2a4	DelayLoad_GdipClosePathFigure	1
006db2bc	DelayLoad_GdipClosePathFigures	1
006db2d4	DelayLoad_GdipSetPathMarker	1
006db2ec	DelayLoad_GdipClearPathMarkers	1
006db304	DelayLoad_GdipReversePath	1
006db31c	DelayLoad_GdipGetPathLastPoint	1
006db334	DelayLoad_GdipAddPathLine	1
006db34c	DelayLoad_GdipAddPathLine2	1
006db364	DelayLoad_GdipAddPathArc	1
006db37c	DelayLoad_GdipAddPathBezier	1
006db394	DelayLoad_GdipAddPathBeziers	1
006db3ac	DelayLoad_GdipAddPathCurve	1
006db3c4	DelayLoad_GdipAddPathCurve2	1
006db3dc	DelayLoad_GdipAddPathCurve3	1
006db3f4	DelayLoad_GdipAddPathClosedCurve	1
006db40c	DelayLoad_GdipAddPathClosedCurve2	1
006db424	DelayLoad_GdipAddPathRectangle	1
006db43c	DelayLoad_GdipAddPathRectangles	1
006db454	DelayLoad_GdipAddPathEllipse	1
006db46c	DelayLoad_GdipAddPathPie	1
006db484	DelayLoad_GdipAddPathPolygon	1
006db49c	DelayLoad_GdipAddPathPath	1
006db4b4	DelayLoad_GdipAddPathString	1
006db4cc	DelayLoad_GdipAddPathStringI	1
006db4e4	DelayLoad_GdipAddPathLineI	1
006db4fc	DelayLoad_GdipAddPathLine2I	1
006db514	DelayLoad_GdipAddPathArcI	1
006db52c	DelayLoad_GdipAddPathBezierI	1
006db544	DelayLoad_GdipAddPathBeziersI	1
006db55c	DelayLoad_GdipAddPathCurveI	1
006db574	DelayLoad_GdipAddPathCurve2I	1
006db58c	DelayLoad_GdipAddPathCurve3I	1
006db5a4	DelayLoad_GdipAddPathClosedCurveI	1
006db5bc	DelayLoad_GdipAddPathClosedCurve2I	1
006db5d4	DelayLoad_GdipAddPathRectangleI	1
006db5ec	DelayLoad_GdipAddPathRectanglesI	1
006db604	DelayLoad_GdipAddPathEllipseI	1
006db61c	DelayLoad_GdipAddPathPieI	1
006db634	DelayLoad_GdipAddPathPolygonI	1
006db64c	DelayLoad_GdipFlattenPath	1
006db664	DelayLoad_GdipWindingModeOutline	1
006db67c	DelayLoad_GdipWidenPath	1
